,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-07-10T00:00:00.000000000],1.033,0.041,0.985,1.08,0.018,0.008,6.0,13.0,1.55
r_t[2020-07-11T00:00:00.000000000],1.029,0.045,0.991,1.091,0.017,0.008,7.0,13.0,1.48
r_t[2020-07-12T00:00:00.000000000],1.029,0.045,0.991,1.091,0.017,0.008,7.0,13.0,1.48
r_t[2020-07-13T00:00:00.000000000],1.029,0.045,0.991,1.091,0.017,0.008,7.0,13.0,1.48
r_t[2020-07-14T00:00:00.000000000],1.03,0.037,0.985,1.074,0.011,0.005,10.0,13.0,1.14
r_t[2020-07-15T00:00:00.000000000],1.03,0.037,0.985,1.074,0.011,0.005,10.0,13.0,1.14
r_t[2020-07-16T00:00:00.000000000],1.03,0.037,0.985,1.074,0.011,0.005,10.0,13.0,1.14
r_t[2020-07-17T00:00:00.000000000],1.04,0.037,0.996,1.073,0.014,0.007,6.0,13.0,1.47
r_t[2020-07-18T00:00:00.000000000],1.04,0.037,0.996,1.073,0.014,0.007,6.0,13.0,1.47
r_t[2020-07-19T00:00:00.000000000],1.04,0.037,0.996,1.073,0.014,0.007,6.0,13.0,1.47
r_t[2020-07-20T00:00:00.000000000],1.039,0.03,1.001,1.071,0.007,0.003,19.0,29.0,1.02
r_t[2020-07-21T00:00:00.000000000],1.039,0.03,1.001,1.071,0.007,0.003,19.0,29.0,1.02
r_t[2020-07-22T00:00:00.000000000],1.039,0.03,1.001,1.071,0.007,0.003,19.0,29.0,1.02
r_t[2020-07-23T00:00:00.000000000],1.041,0.031,1.007,1.081,0.007,0.004,20.0,13.0,1.3
r_t[2020-07-24T00:00:00.000000000],1.041,0.031,1.007,1.081,0.007,0.004,20.0,13.0,1.3
r_t[2020-07-25T00:00:00.000000000],1.041,0.031,1.007,1.081,0.007,0.004,20.0,13.0,1.3
r_t[2020-07-26T00:00:00.000000000],1.036,0.031,1.009,1.083,0.008,0.003,17.0,17.0,1.13
r_t[2020-07-27T00:00:00.000000000],1.036,0.031,1.009,1.083,0.008,0.003,17.0,17.0,1.13
r_t[2020-07-28T00:00:00.000000000],1.036,0.031,1.009,1.083,0.008,0.003,17.0,17.0,1.13
r_t[2020-07-29T00:00:00.000000000],1.033,0.037,0.987,1.071,0.014,0.003,7.0,29.0,1.3
r_t[2020-07-30T00:00:00.000000000],1.033,0.037,0.987,1.071,0.014,0.003,7.0,29.0,1.3
r_t[2020-07-31T00:00:00.000000000],1.033,0.037,0.987,1.071,0.014,0.003,7.0,29.0,1.3
r_t[2020-08-01T00:00:00.000000000],1.036,0.041,0.989,1.089,0.018,0.005,5.0,13.0,1.66
r_t[2020-08-02T00:00:00.000000000],1.036,0.041,0.989,1.089,0.018,0.005,5.0,13.0,1.66
r_t[2020-08-03T00:00:00.000000000],1.036,0.041,0.989,1.089,0.018,0.005,5.0,13.0,1.66
r_t[2020-08-04T00:00:00.000000000],1.031,0.045,0.982,1.084,0.018,0.006,7.0,40.0,1.34
r_t[2020-08-05T00:00:00.000000000],1.031,0.045,0.982,1.084,0.018,0.006,7.0,40.0,1.34
r_t[2020-08-06T00:00:00.000000000],1.031,0.045,0.982,1.084,0.018,0.006,7.0,40.0,1.34
r_t[2020-08-07T00:00:00.000000000],1.028,0.046,0.971,1.082,0.019,0.003,6.0,17.0,1.45
r_t[2020-08-08T00:00:00.000000000],1.028,0.046,0.971,1.082,0.019,0.003,6.0,17.0,1.45
