date,predicted_cases
2020-08-17,11202.6382010642
2020-08-18,11231.126022070095
2020-08-19,11260.996848069555
2020-08-20,11301.047875821754
2020-08-21,11350.81552295781
2020-08-22,11402.118570075612
2020-08-23,11451.40985847593
2020-08-24,11499.412906337535
2020-08-25,11547.752621922407
2020-08-26,11594.60997073776
2020-08-27,11639.850927606074
2020-08-28,11685.421410032306
2020-08-29,11732.426867249493
2020-08-30,11780.699165317728
2020-08-31,11830.078371154003
2020-09-01,11884.804499786862
2020-09-02,11944.8112329719
2020-09-03,12006.351187694607
2020-09-04,12069.187294459518
2020-09-05,12133.55791373153
2020-09-06,12199.000366392474
2020-09-07,12265.62266514672
2020-09-08,12333.412909517185
2020-09-09,12401.04526757569
2020-09-10,12454.970849489802
2020-09-11,12495.720162969663
2020-09-12,12535.360030459025
2020-09-13,12573.301818505657
2020-09-14,12608.63848836778
2020-09-15,12644.351673095998
2020-09-16,12682.969759046047
2020-09-17,12724.127345688654
2020-09-18,12766.0391946699
2020-09-19,12807.252374966802
2020-09-20,12847.834598625172
2020-09-21,12888.873742447178
2020-09-22,12932.473630414443
2020-09-23,12978.46541309499
2020-09-24,13025.298982499655
2020-09-25,13074.8685183545
2020-09-26,13127.198153276706
2020-09-27,13181.694098370433
2020-09-28,13255.139355459909
2020-09-29,13347.047189098397
2020-09-30,13441.972169055349
2020-10-01,13537.201803076872
2020-10-02,13634.002416593785
2020-10-03,13731.599066242588
2020-10-04,13824.08803748969
2020-10-05,13911.604833008634
2020-10-06,13999.327925582847
2020-10-07,14089.23845865035
2020-10-08,14180.948503620579
2020-10-09,14272.311703574007
2020-10-10,14345.548651750025
2020-10-11,14401.42370171236
2020-10-12,14455.8187429613
2020-10-13,14508.834955714066
2020-10-14,14559.093959329823
2020-10-15,14607.51586801809
2020-10-16,14633.198496836654
2020-10-17,14636.71018319073
2020-10-18,14637.370244498316
2020-10-19,14635.727864920415
2020-10-20,14630.339376202175
2020-10-21,14623.680858518168
2020-10-22,14607.78398871872
2020-10-23,14582.821990687207
2020-10-24,14558.625549054002
2020-10-25,14557.171144839152
2020-10-26,14576.844713739838
2020-10-27,14598.749615152215
2020-10-28,14615.198855488894
2020-10-29,14627.822331173053
2020-10-30,14639.850789805605
2020-10-31,14646.815730893595
2020-11-01,14648.614460567625
2020-11-02,14649.016110632108
2020-11-03,14638.06333467057
2020-11-04,14615.7947758084
2020-11-05,14592.592809665392
2020-11-06,14575.047281898536
2020-11-07,14562.124601250938
2020-11-08,14549.720904916694
2020-11-09,14536.49855382252
2020-11-10,14522.801786838594
2020-11-11,14510.023552496665
2020-11-12,14507.747581420865
2020-11-13,14515.500910878329
2020-11-14,14525.00572068303
2020-11-15,14538.963828145625
2020-11-16,14557.796102588727
2020-11-17,14576.98485521373
2020-11-18,14590.439398150991
2020-11-19,14598.624342958294
2020-11-20,14605.825633161328
2020-11-21,14607.198266555257
2020-11-22,14602.618121572976
2020-11-23,14598.886646727837
2020-11-24,14614.73533618219
2020-11-25,14648.912633108053
2020-11-26,14684.373425459664
2020-11-27,14705.924886095392
2020-11-28,14715.364978437543
2020-11-29,14723.963306441625
2020-11-30,14737.309190812955
2020-12-01,14754.348071055232
2020-12-02,14771.711233232487
2020-12-03,14785.589757975984
2020-12-04,14796.302580139723
2020-12-05,14806.105128908326
2020-12-06,14806.951096128852
2020-12-07,14798.898057034488
2020-12-08,14789.046136736724
2020-12-09,14769.489305047033
2020-12-10,14740.120266051455
2020-12-11,14709.359609190955
2020-12-12,14672.535599928344
2020-12-13,14629.162357614992
2020-12-14,14585.120518523494
