,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-05-26T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-27T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-28T00:00:00.000000000],0.868,0.133,0.677,1.01,0.024,0.014,31.0,67.0,1.03
r_t[2020-05-29T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-05-30T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-05-31T00:00:00.000000000],0.866,0.137,0.684,1.002,0.025,0.014,31.0,73.0,1.05
r_t[2020-06-01T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-02T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-03T00:00:00.000000000],0.866,0.137,0.684,0.98,0.025,0.015,31.0,73.0,1.04
r_t[2020-06-04T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-05T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-06T00:00:00.000000000],0.862,0.143,0.685,0.986,0.027,0.017,28.0,72.0,1.04
r_t[2020-06-07T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-08T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-09T00:00:00.000000000],0.855,0.143,0.691,1.005,0.027,0.017,27.0,72.0,1.05
r_t[2020-06-10T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-11T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-12T00:00:00.000000000],0.857,0.141,0.67,0.968,0.029,0.016,24.0,42.0,1.07
r_t[2020-06-13T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-14T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-15T00:00:00.000000000],0.861,0.14,0.656,0.962,0.029,0.015,25.0,57.0,1.07
r_t[2020-06-16T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-17T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-18T00:00:00.000000000],0.855,0.141,0.699,1.004,0.028,0.015,26.0,46.0,1.07
r_t[2020-06-19T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
r_t[2020-06-20T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
r_t[2020-06-21T00:00:00.000000000],0.854,0.142,0.689,1.011,0.027,0.016,30.0,58.0,1.05
