,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-08-16T00:00:00.000000000],1.086,0.017,1.068,1.105,0.005,0.003,13.0,22.0,1.25
r_t[2020-08-17T00:00:00.000000000],1.085,0.016,1.078,1.113,0.006,0.003,7.0,22.0,1.57
r_t[2020-08-18T00:00:00.000000000],1.085,0.016,1.078,1.113,0.006,0.003,7.0,22.0,1.57
r_t[2020-08-19T00:00:00.000000000],1.085,0.016,1.078,1.113,0.006,0.003,7.0,22.0,1.57
r_t[2020-08-20T00:00:00.000000000],1.097,0.022,1.076,1.12,0.009,0.004,6.0,22.0,2.01
r_t[2020-08-21T00:00:00.000000000],1.097,0.022,1.076,1.12,0.009,0.004,6.0,22.0,2.01
r_t[2020-08-22T00:00:00.000000000],1.097,0.022,1.076,1.12,0.009,0.004,6.0,22.0,2.01
r_t[2020-08-23T00:00:00.000000000],1.089,0.018,1.074,1.11,0.007,0.004,6.0,22.0,2.07
r_t[2020-08-24T00:00:00.000000000],1.089,0.018,1.074,1.11,0.007,0.004,6.0,22.0,2.07
r_t[2020-08-25T00:00:00.000000000],1.089,0.018,1.074,1.11,0.007,0.004,6.0,22.0,2.07
r_t[2020-08-26T00:00:00.000000000],1.09,0.023,1.061,1.113,0.009,0.004,7.0,22.0,1.78
r_t[2020-08-27T00:00:00.000000000],1.09,0.023,1.061,1.113,0.009,0.004,7.0,22.0,1.78
r_t[2020-08-28T00:00:00.000000000],1.09,0.023,1.061,1.113,0.009,0.004,7.0,22.0,1.78
r_t[2020-08-29T00:00:00.000000000],1.081,0.016,1.067,1.094,0.006,0.004,7.0,22.0,1.46
r_t[2020-08-30T00:00:00.000000000],1.081,0.016,1.067,1.094,0.006,0.004,7.0,22.0,1.46
r_t[2020-08-31T00:00:00.000000000],1.081,0.016,1.067,1.094,0.006,0.004,7.0,22.0,1.46
r_t[2020-09-01T00:00:00.000000000],1.079,0.012,1.071,1.092,0.004,0.003,8.0,22.0,1.44
r_t[2020-09-02T00:00:00.000000000],1.079,0.012,1.071,1.092,0.004,0.003,8.0,22.0,1.44
r_t[2020-09-03T00:00:00.000000000],1.079,0.012,1.071,1.092,0.004,0.003,8.0,22.0,1.44
r_t[2020-09-04T00:00:00.000000000],1.072,0.013,1.068,1.092,0.004,0.003,9.0,22.0,1.19
r_t[2020-09-05T00:00:00.000000000],1.072,0.013,1.068,1.092,0.004,0.003,9.0,22.0,1.19
r_t[2020-09-06T00:00:00.000000000],1.072,0.013,1.068,1.092,0.004,0.003,9.0,22.0,1.19
