,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-08-15T00:00:00.000000000],1.076,0.019,1.064,1.108,0.006,0.003,9.0,22.0,1.3
r_t[2020-08-16T00:00:00.000000000],1.076,0.019,1.064,1.108,0.006,0.003,9.0,22.0,1.3
r_t[2020-08-17T00:00:00.000000000],1.077,0.018,1.058,1.1,0.007,0.002,7.0,22.0,1.77
r_t[2020-08-18T00:00:00.000000000],1.077,0.018,1.058,1.1,0.007,0.002,7.0,22.0,1.77
r_t[2020-08-19T00:00:00.000000000],1.077,0.018,1.058,1.1,0.007,0.002,7.0,22.0,1.77
r_t[2020-08-20T00:00:00.000000000],1.079,0.013,1.07,1.089,0.004,0.003,7.0,22.0,1.54
r_t[2020-08-21T00:00:00.000000000],1.079,0.013,1.07,1.089,0.004,0.003,7.0,22.0,1.54
r_t[2020-08-22T00:00:00.000000000],1.079,0.013,1.07,1.089,0.004,0.003,7.0,22.0,1.54
r_t[2020-08-23T00:00:00.000000000],1.079,0.025,1.063,1.089,0.008,0.008,6.0,22.0,2.0
r_t[2020-08-24T00:00:00.000000000],1.079,0.025,1.063,1.089,0.008,0.008,6.0,22.0,2.0
r_t[2020-08-25T00:00:00.000000000],1.079,0.025,1.063,1.089,0.008,0.008,6.0,22.0,2.0
r_t[2020-08-26T00:00:00.000000000],1.079,0.02,1.065,1.088,0.006,0.007,8.0,22.0,1.48
r_t[2020-08-27T00:00:00.000000000],1.079,0.02,1.065,1.088,0.006,0.007,8.0,22.0,1.48
r_t[2020-08-28T00:00:00.000000000],1.079,0.02,1.065,1.088,0.006,0.007,8.0,22.0,1.48
r_t[2020-08-29T00:00:00.000000000],1.085,0.019,1.063,1.109,0.008,0.003,6.0,22.0,2.17
r_t[2020-08-30T00:00:00.000000000],1.085,0.019,1.063,1.109,0.008,0.003,6.0,22.0,2.17
r_t[2020-08-31T00:00:00.000000000],1.085,0.019,1.063,1.109,0.008,0.003,6.0,22.0,2.17
r_t[2020-09-01T00:00:00.000000000],1.082,0.014,1.063,1.096,0.006,0.002,6.0,22.0,2.11
r_t[2020-09-02T00:00:00.000000000],1.082,0.014,1.063,1.096,0.006,0.002,6.0,22.0,2.11
r_t[2020-09-03T00:00:00.000000000],1.082,0.014,1.063,1.096,0.006,0.002,6.0,22.0,2.11
r_t[2020-09-04T00:00:00.000000000],1.076,0.015,1.061,1.095,0.006,0.002,6.0,22.0,1.73
r_t[2020-09-05T00:00:00.000000000],1.076,0.015,1.061,1.095,0.006,0.002,6.0,22.0,1.73
r_t[2020-09-06T00:00:00.000000000],1.076,0.015,1.061,1.095,0.006,0.002,6.0,22.0,1.73
r_t[2020-09-07T00:00:00.000000000],1.077,0.017,1.067,1.098,0.005,0.004,11.0,22.0,1.45
r_t[2020-09-08T00:00:00.000000000],1.077,0.017,1.067,1.098,0.005,0.004,11.0,22.0,1.45
